20201118,工业园区,湖西CBD,高楼层采光无遮挡，视野开阔，三房朝南，精装保养好新上,858万,高楼层(共27层)                                                3室2厅 | 155.85平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_2kURVgTCe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,湖西好位置，小区好位置，中间楼层，业主诚心卖,428万,中楼层(共5层)                                                3室2厅 | 97平米                                  | 南 北,https://ke-image.ljcdn.com/320500-inspection/pc1_J1LBid672_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,加城湖滨公寓 三房两卫 交通方便 设施齐全 业主诚售,660万,低楼层(共25层)                                                3室2厅 | 128.8平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_g36iFS9Sy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,新城花园中等楼层，满五唯一，税费少,308万,中楼层(共6层)                                                2室1厅 | 78平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_a2U46dK8O_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,精装住宅，星海，拎包入住，科技住宅,816万,中楼层(共47层)                                                2室1厅 | 130平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_dmtR8gEVe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,双阳台湖景房，金鸡湖，李公堤景观,850万,中楼层(共26层)                                                3室2厅 | 149.53平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_l3peuPpXm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,天翔花园 楼层好 三房 诚意出售,700万,高楼层(共24层)                                                3室2厅 | 149平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_WASTJgKbU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,星湾可用  楼层好 视野开阔  户型方正 有车位必看好房,580万,高楼层(共16层)                                                3室2厅 | 132.85平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_Df7FVNtxM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,铁狮门苏悦广场，湖西高 端舒适盘，双 星  海,525万,高楼层(共41层)                                                1室1厅 | 63.27平米                                  | 西,https://ke-image.ljcdn.com/320500-inspection/pc1_koNoi4u27_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,都市花园大2房，诚意出售，格局好正南正北。,539万,高楼层(共6层)                                                2室2厅 | 95.77平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-397afd86-6685-4dd3-908e-c60138dc38b7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,金鸡湖之溿东方之门，豪 装三房出售,899万,中楼层(共82层)                                                3室2厅 | 210.52平米                                  | 西北,https://ke-image.ljcdn.com/110000-inspection/pc1_CvaNGpqd5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,此房为苏州ceter8号的湖景房，位于W酒店的西侧，星海,850万,高楼层(共47层)                                                2室2厅 | 130平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_dr67zvgzt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,全湖景好房，连续降价80多万，随时看房，随时签约！,920万,低楼层(共47层)                                                3室2厅 | 175平米                                  | 东,https://ke-image.ljcdn.com/320500-inspection/pc1_CrkqKL1sc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,加城花园 看房方便  南北可通风 24年可用,835万,低楼层(共17层)                                                4室2厅 | 157.07平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_TbOlOiRLv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,小区中间位置，临河很安静，采光没影响,499万,中楼层(共6层)                                                2室2厅 | 85.18平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_A0pkPq6p7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,星海舒适大三房，全明通透户型两房南一房北。,799万,低楼层(共10层)                                                3室2厅 | 143平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_CzBMIrjWv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,天域西区 品质住宅 诚意出售 精装两房 户型方正,700万,中楼层(共26层)                                                2室2厅 | 117.1平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_F9jkxtJ1M_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,湖西CBD 金鸡湖一线湖景品质住宅  近星海  业主诚售,730万,低楼层(共47层)                                                1室2厅 | 142平米                                  | 东南,https://ke-image.ljcdn.com/320500-inspection/pc1_QYBBl7PLn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,新加花园小三房，中间楼层，业主诚意出售,520万,中楼层(共6层)                                                3室2厅 | 104平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_cnSX8u6tg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,通透户型，视野宽阔，配套设施齐全，满五唯一,505万,低楼层(共11层)                                                3室2厅 | 136.54平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_5g1lk3yy5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,都市花园小高层三房，采光与视野好；,710万,中楼层(共9层)                                                3室2厅 | 139平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_l0qYCQELT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,中茵皇冠国际 3室2厅 南,1530万,中楼层(共16层)                                                3室2厅 | 191.84平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_3ssfah9bo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,铂金公寓 朝东一房 带租约 诚意出售,420万,中楼层(共24层)                                                1室1厅 | 75.02平米                                  | 东,https://ke-image.ljcdn.com/110000-inspection/pc1_V77lx9aJu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,加城花园 正四房两厅两卫 通透 东边户 自住精装,970万,低楼层(共24层)                                                4室2厅 | 166.83平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_ywAx5ukDu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,苏州中x 金鸡湖 开发商统一装修,816万,中楼层(共82层)                                                3室2厅 | 197.37平米                                  | 西,https://ke-image.ljcdn.com/320500-inspection/pc1_g0qV3i4An_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,映象花苑精装修三房 好位置好楼层  南北通,830万,中楼层(共24层)                                                3室2厅 | 137平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_QkeL8CRSr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,小高层三房，户型 通透  诚意出售,810万,低楼层(共10层)                                                3室2厅 | 134.44平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_MbQkyqFRO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,房东置换诚心出售，户型方正，视野开阔，好房好房好房,848万,中楼层(共5层)                                                3室2厅 | 130.77平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_9yDdcuDeK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,新城花园  通透户型   位置好楼层好   满五唯一,400万,中楼层(共5层)                                                3室2厅 | 94.89平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_ATjSIzd9U_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,精装大3房，客厅带2米宽大阳台，满五唯一，出门3号线,616万,低楼层(共20层)                                                3室2厅 | 130.5平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_ORx0IfKzw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,多层，得房率高，楼层中上，采光好,490万,中楼层(共6层)                                                2室2厅 | 76平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_pyOsIgYv7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,四季新家园 星海好房 中间位置好房,868万,低楼层(共9层)                                                4室2厅 | 154平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_wgwo2frHC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,高层朝南看湖景，40年产权公寓，可注册公司,328万,中楼层(共67层)                                                1室2厅 | 100.99平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_U6UhwZLs1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,铂金公寓，卧室朝南1房，全明，全天采光佳,345万,中楼层(共24层)                                                1室1厅 | 62平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_Ig4x62wHT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,湖左岸 精装两房  无户口 带租约 诚售,687万,高楼层(共33层)                                                2室2厅 | 99.95平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_xoAphOi8n_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,全湖景大两房 开发商统装看房方便,860万,中楼层(共18层)                                                2室2厅 | 148平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_CccJcLE2e_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,户型好，装修好，70年产权，诚意出售,355万,低楼层(共24层)                                                1室1厅 | 63平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_VO5CJYfNL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,湖西地段，三号六号双轨边上，金鸡湖一线湖景房,895万,低楼层(共28层)                                                3室2厅 | 151平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-7ef6d4cb-1c81-4975-b237-adf86b3d7b03.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,业主换房， 诚意出售，开发商统装，星海可以,650万,中楼层(共82层)                                                1室2厅 | 130.62平米                                  | 北,https://ke-image.ljcdn.com/320500-inspection/prod-980023ce-39c1-42c6-8c6e-217789bebf7b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,精致一室小面积   诚意出售  ！！,460万,低楼层(共47层)                                                1室1厅 | 58.24平米                                  | 西,https://ke-image.ljcdn.com/110000-inspection/pc1_PkSu6CSjA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,苏州ZX湖景房，楼层高位置好，地铁一号线出行方便,800万,中楼层(共47层)                                                1室2厅 | 141平米                                  | 东,https://ke-image.ljcdn.com/320500-inspection/prod-a07837b1-09c0-4a5d-b457-573648953703.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,满五不唯一 ，毛坯大四房，户型好，价格可以谈,890万,中楼层(共24层)                                                4室2厅 | 166平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-c8530f4f-d603-4ad8-a178-b03410121ef3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,天域东区 4室2厅 精装家具全留 诚意出售,1300万,低楼层(共33层)                                                4室2厅 | 187平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-6d5744ba-6450-4bcb-997a-fa2798d0aa4b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,13年精装全屋水暖三房 19年刚用过,650万,高楼层(共12层)                                                3室2厅 | 106.12平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-48ab7838-d4b6-4911-996b-514bde31ae27.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,东方之门苏州专享身份的象征，嗯嗯,1020万,中楼层(共82层)                                                2室2厅 | 200.25平米                                  | 西,https://ke-image.ljcdn.com/320500-inspection/prod-7395b533-d58d-49f1-9aae-dd8cac134d34.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,三开间朝南高楼层无遮挡，有湖景。,718万,高楼层(共47层)                                                2室2厅 | 130.25平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-5c8417ca-4d61-4199-b961-a4dae8b4cc32.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,加城湖滨公寓，经典大两房，精装修,555万,中楼层(共20层)                                                2室2厅 | 116平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-28094ccb-cd9a-4c70-b414-5a37da004cb6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,苏州中 心 精装一房 位置好 楼层佳,650万,中楼层(共47层)                                                1室1厅 | 87平米                                  | 北,https://ke-image.ljcdn.com/110000-inspection/pc1_oZHMjZ4FC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,加城花园两房诚意出售，25年能开始用,600万,低楼层(共12层)                                                2室2厅 | 88平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-34003ff8-07b3-4335-841b-312d24e6bf1b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,加城花园  正气三房  高楼层 视野好 满五 看房方便,768万,高楼层(共29层)                                                3室2厅 | 129.75平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_bxML735gk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,此房楼层好  小区环境好 视野开阔 交通与生活便利,763万,中楼层(共5层)                                                3室2厅 | 122.63平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-b9df2b24-1932-468c-829b-f78b2655d42b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,客厅朝南，视野宽阔，采光无遮挡，交通便利。,349万,高楼层(共6层)                                                2室2厅 | 88平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_HTXMCD5Zd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,金鸡湖景区房，中高楼层，好地段，好户型大四房！,828万,中楼层(共18层)                                                4室2厅 | 167平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-41f2dc35-98cd-4398-9266-35579789676c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,加城花园 经典三房 中间楼层 采光好,780万,中楼层(共10层)                                                3室2厅 | 134平米                                  | 东,https://ke-image.ljcdn.com/320500-inspection/prod-da01a215-e6d2-428d-b0ae-439ee3d6c04b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,金鸡湖边苏州center星海湖景房，拎包入住,820万,低楼层(共47层)                                                1室1厅 | 143平米                                  | 东,https://ke-image.ljcdn.com/320500-inspection/test-03173f93-d88e-4f1f-9c52-d66fdf08ed90.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,天域东区 精装3房.全南户型.装修好,888万,中楼层(共23层)                                                3室1厅 | 142平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-7fd98273-f8f7-4589-bcec-562d3a52fb05.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,金鸡湖全湖景 精装修 拎包入住 湖西12年的房子,860万,高楼层(共27层)                                                3室2厅 | 143平米                                  | 东,https://ke-image.ljcdn.com/320500-inspection/prod-e0a689c9-526f-476b-bcac-9276fed3d84a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,天虹商场楼上 铂金公寓一房  带租约出售,380万,高楼层(共24层)                                                1室2厅 | 65平米                                  | 北,https://ke-image.ljcdn.com/110000-inspection/pc1_fzRDSSEm7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,中茵皇冠 精装一房 值得典藏 星湾双,448万,低楼层(共18层)                                                1室2厅 | 84.83平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-e6cecfb8-e2aa-400e-9b74-be5dd3ef589d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,精装大3房 视野宽阔 户型方正 配套成熟 满五年,814万,高楼层(共24层)                                                3室2厅 | 144.5平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_PEKv6T9an_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,中茵皇冠 通透一房 湖景好 采光足 看房方便！,542万,中楼层(共18层)                                                1室1厅 | 93.49平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-ae3049ec-9d07-447f-9062-1c59e6a07f38.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,天虹商场楼上  铂金公寓小面积房出售,380万,高楼层(共24层)                                                1室1厅 | 63平米                                  | 北,https://ke-image.ljcdn.com/320500-inspection/pc1_B1jie5Oaq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,四季新家园大平层 ，装修保养好，自住改善很合适,1098万,高楼层(共27层)                                                4室2厅 | 204平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_KDQ7arm6z_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,业主换房， 诚意出售，星海可以用的,764万,高楼层(共82层)                                                2室2厅 | 153.89平米                                  | 西,https://ke-image.ljcdn.com/320500-inspection/prod-082abf04-5419-4ed9-8956-689c25c89679.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,新城花园两房通透，满五不唯一，中等装修,280万,高楼层(共6层)                                                2室1厅 | 88平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-8a192483-4b80-49e1-9246-c5ffbb977e9b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,环球188 朝南 一室 小户型 诚意出售,476万,中楼层(共56层)                                                1室1厅 | 83.94平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_xEToOeEho_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,湖左岸 3房  格局很好  交通便利,950万,中楼层(共26层)                                                3室2厅 | 169平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-89e7becf-9d51-4952-b9ce-a75485da646f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,董事汇朝南一房 房东自住 保养好,509万,高楼层(共28层)                                                1室2厅 | 93平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-774e428a-6829-41fb-a4e6-04174d9a29db.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,东方之门 方正两房 诚意出售 看房提前约,820万,中楼层(共82层)                                                2室1厅 | 168.93平米                                  | 西,https://ke-image.ljcdn.com/320500-inspection/prod-1bfb29c5-fef3-4a97-b791-86d64ee78ba5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,湖左岸正四房 湖景房 未用 南北双阳台 中间位置,1050万,高楼层(共31层)                                                4室2厅 | 191.02平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-1c9b1845-cc50-47ea-8d49-41fad8250333.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,星海随时可用 环球3房  业主诚意出售  看房随时可看,698万,高楼层(共56层)                                                3室2厅 | 174.74平米                                  | 东,https://ke-image.ljcdn.com/320500-inspection/prod-02dc2886-fa3f-454a-8234-1be8afde7cde.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,星海随时可用 环球3房 业主诚意出售 看房随时,698万,高楼层(共56层)                                                3室2厅 | 174.74平米                                  | 东,https://ke-image.ljcdn.com/320500-inspection/prod-6f8cb31b-cc74-40f4-9de0-8910ee5e53a9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,东方之门，湖景风光，诚意出售。,616万,低楼层(共82层)                                                1室2厅 | 119.57平米                                  | 北,https://ke-image.ljcdn.com/320500-inspection/prod-8a9f783e-8376-48cf-84c0-9605c7a51587.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,2房价格低 房龄新 铁狮门大品牌,612万,高楼层(共41层)                                                2室1厅 | 96平米                                  | 西北,https://ke-image.ljcdn.com/320500-inspection/test-cfee1624-3501-45ab-9d39-e01d23057f05.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,楼下地铁站，，业主诚意出售，交通便利，视野开阔,780万,中楼层(共82层)                                                2室2厅 | 129.2平米                                  | 西,https://ke-image.ljcdn.com/320500-inspection/prod-bcfc99cc-948a-4d5e-a666-e25b494e0f98.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,苏州地-标 云端奢享 金鸡湖湖景,1650万,中楼层(共82层)                                                4室2厅 | 244.61平米                                  | 西南,https://ke-image.ljcdn.com/320500-inspection/prod-cd6ed3cf-c299-42d4-81bc-a5cbcdc0d5d0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,加城花园 三房朝南户型 视野佳 采光好 小区好位置,750万,高楼层(共10层)                                                3室2厅 | 134平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-725b3515-f3a7-4554-aa8c-06a1b193d527.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,湖西商圈板块中，房龄新，配套成熟，带车位。,630万,高楼层(共28层)                                                2室2厅 | 155.17平米                                  | 西南,https://ke-image.ljcdn.com/110000-inspection/pc1_Sn3cqjsmz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,加城花园湖景两房 上学近走路就到，看房有钥匙。,665万,高楼层(共29层)                                                2室2厅 | 105平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/test-39c68aa4-ada0-4513-8e26-8ad7a9d9c9c3.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,小区中间位置，中间层，安静不吵，诚意出售，看中可谈,440万,中楼层(共5层)                                                3室2厅 | 108.5平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_sSVmvIMBi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,户型方正,两房朝南,满五唯一,诚意出售!,458万,低楼层(共6层)                                                3室2厅 | 109平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_EqrpgZJBm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,董事汇云尚公馆 1室1厅 南,515万,高楼层(共28层)                                                1室1厅 | 105平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_GQZJi5iRj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,精装电梯大三房，全明户型，楼层视野采光好,610万,高楼层(共18层)                                                3室2厅 | 146.07平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_YNuSDjExa_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,此房楼层很好，楼幢位置优越，业主诚意出售,640万,中楼层(共24层)                                                2室2厅 | 92平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_Am67J0xbP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,秋裤之上 空中大宅 东方之门 东南双湖景平层,1080万,高楼层(共82层)                                                4室2厅 | 170平米                                  | 东南,https://ke-image.ljcdn.com/110000-inspection/pc1_l5FuLFGhM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,小区中间小三室，格局好，无浪费空间、星海未用,735万,高楼层(共12层)                                                3室1厅 | 109.75平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/test-4a1b2d03-48f3-4c59-bd11-b53d676e25c8.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,金鸡湖全湖景，高楼层，全新装修 ，寻找有缘人新上,818万,高楼层(共62层)                                                1室2厅 | 141.6平米                                  | 东,https://ke-image.ljcdn.com/110000-inspection/pc1_tpvuUKa3m_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,湖西CBD房源，业主移民加拿大，故急售国内房屋，急售新上,1200万,中楼层(共4层)                                                5室2厅 | 256平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_myhG8l2Pv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,新加花园精装复式叠加别墅，小区中间位置，拎包入住。新上,836万,中楼层(共4层)                                                4室1厅 | 156.8平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_CLFBKmXzP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,师惠花苑 1室1厅 北新上,378万,中楼层(共15层)                                                1室1厅 | 46.19平米                                  | 北,https://ke-image.ljcdn.com/110000-inspection/pc1_rgaiHSTHq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,都市花园新上 精装两房 楼层好 保养好新上,465万,中楼层(共21层)                                                2室2厅 | 91.02平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_ADtQmHH0s_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,园区湖西，电梯房，中上楼层，采光全天新上,580万,中楼层(共18层)                                                3室2厅 | 127.7平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_ErAdwTQij_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,园区金鸡湖湖景房，小区品质好，居住安静，交通便利新上,1983万,高楼层(共21层)                                                4室2厅 | 247.87平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-ad7bcbb1-d724-4324-a289-1db9c3210f5e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,苏州 建筑 收藏典范 格局正气 视野好新上,920万,中楼层(共82层)                                                2室2厅 | 132.91平米                                  | 西,https://ke-image.ljcdn.com/110000-inspection/pc1_tqasiz3eD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,满5唯一，业主诚意出售，楼层好，二房朝南新上,330万,中楼层(共6层)                                                2室1厅 | 77.79平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_yqNiv6BEv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
